id,score0,score1,score2,difficulty
vrdqljvrdv,0.44,0.35,0.52,level0
oflcuhp,0.37,0.52,0.13,level0
umfkjosji,0.25,0.37,0.46,level1
idrmopaptex,0.25,0.45,0.28,level1
xlkjxlasy,0.03,0.62,0.44,level1
pxblufooch,0.42,0.57,0.32,level0
zrbuua,0.65,0.68,0.5,level0
gjpwyiveeyk,0.22,0.53,0.23,level0
vooqcwjhys,0.16,0.07,0.32,level1
mrvazfv,0.11,0.65,0.37,level1
zbfrmo,0.24,0.32,0.56,level1
xffmmukbzl,0.1,0.59,0.33,level0
wzezxyvbgnhz,0.48,0.58,0.28,level0
igyjqea,0.18,0.47,0.9,level0
xfdsonwrnzvz,0.21,0.4,0.4,level1
xijnddyrrb,0.24,0.35,0.46,level1
ndsdhg,0.13,0.44,0.35,level1
remnqou,0.44,0.56,0.57,level0
xsqpxpggy,0.0,0.53,0.55,level0
kygmwsca,0.41,0.73,0.52,level0
jasgtsjpbz,0.42,0.54,0.3,level1
mqinfyqts,0.16,0.45,0.58,level1
xoakjizqytko,0.34,0.45,0.48,level0
ublglpxkrx,0.17,0.58,0.6,level0
ootcrah,0.31,0.27,0.59,level0
prtixfdt,0.23,0.64,0.29,level1
zoxyhzpfgsoi,0.0,0.42,0.75,level0
ptgjpntuwtt,0.41,0.28,0.52,level1
hyqhngumu,0.34,0.61,0.58,level1
uloaqewca,0.23,0.45,0.54,level0
rjjoaumlxuw,0.27,0.53,0.54,level1
tpruvmp,0.38,0.45,0.28,level1
upbbuvtxfvpa,0.44,0.42,0.65,level1
dsiqns,0.33,0.43,0.24,level1
dleqjgw,0.38,0.5,0.41,level0
dbomarpkhqvt,0.23,0.49,0.58,level0
fpzcznvkg,0.29,0.35,0.24,level0
bujqjpoazrf,0.22,0.45,0.44,level1
zkuvle,0.13,0.62,0.16,level1
zcpxssqfvla,0.09,0.71,0.59,level0
icuhnn,0.0,0.25,0.39,level1
lugttfpvuxf,0.35,0.56,0.49,level0
unhkgkez,0.04,0.43,0.65,level0
gmgnlqd,0.43,0.52,0.3,level0
dchzsddhy,0.36,0.33,0.5,level0
krfsztvoqosl,0.26,0.41,0.64,level1
psfgtfm,0.0,0.49,0.53,level1
liwsehmiukt,0.44,0.41,0.5,level0
autiwd,0.46,0.41,0.55,level0
xdzlvyxvhkh,0.37,0.8,0.52,level1
elbivh,0.34,0.56,0.69,level0
cvugfsgem,0.34,0.77,0.39,level1
mszrtbk,0.56,0.5,0.16,level1
brqvua,0.07,0.55,0.49,level0
ymhawpk,0.37,0.73,0.44,level0
bcrhut,0.48,0.3,0.67,level1
nsrfgceu,0.37,0.45,0.59,level1
pqdnghqpe,0.17,0.45,0.43,level1
nnfwocrfeaar,0.29,0.58,0.45,level1
afkubxfw,0.15,0.51,0.57,level0
glfgzif,0.16,0.18,0.76,level0
wmayhmyl,0.09,0.28,0.65,level0
jcxunagib,0.1,0.5,0.44,level1
znustymp,0.23,0.37,0.37,level0
uhhfegdv,0.23,0.31,0.47,level1
ggrcunemddp,0.21,0.47,0.42,level0
rpqiaxhcc,0.57,0.44,0.47,level0
cbdnvjboqynb,0.15,0.38,0.52,level0
jjbyfrugjcjp,0.39,0.39,0.35,level0
dtqatzc,0.19,0.35,0.31,level0
jopzuxqxz,0.24,0.51,0.63,level0
sudokn,0.51,0.57,0.29,level1
fwnnbhturjak,0.46,0.58,0.52,level1
uhukgpdryrf,0.36,0.24,0.32,level1
unygwl,0.2,0.47,0.37,level1
epbeiihdcoea,0.1,0.34,0.36,level0
wsdhpqopq,0.29,0.68,0.65,level1
todupbye,0.09,0.4,0.53,level0
ucaysf,0.08,0.55,0.49,level1
xpgbbgx,0.36,0.73,0.49,level0
qnxgmh,0.19,0.6,0.44,level0
hboporak,0.58,0.57,0.38,level0
sdbdrgpojul,0.22,0.54,0.4,level0
xxemdsy,0.11,0.54,0.53,level0
boltabuor,0.08,0.57,0.41,level1
axcokcixxcug,0.13,0.39,0.46,level1
zpzeyrcna,0.2,0.2,0.37,level0
qcbncrvfg,0.4,0.45,0.8,level1
pxaivpuuq,0.16,0.59,0.58,level0
vkineimu,0.45,0.53,0.89,level1
uqovvc,0.04,0.29,0.63,level0
riscgfpvjqal,0.09,0.69,0.8,level0
ckxgtza,0.4,0.6,0.26,level1
slqttdcqu,0.34,0.66,0.34,level1
rmyhxscpykj,0.21,0.61,0.4,level1
yzhudf,0.3,0.53,0.3,level1
dyslyi,0.28,0.65,0.74,level1
htodceuth,0.04,0.46,0.55,level0
bykhswpyhg,0.14,0.34,0.6,level0
ljipyd,0.31,0.39,0.53,level1
xkfirvg,0.41,0.48,0.49,level0
upanfoh,0.49,0.59,0.37,level0
uxqvidajm,0.11,0.45,0.58,level0
lwzkgeg,0.32,0.49,0.44,level0
lnavym,0.0,0.42,0.43,level1
dftyson,0.39,0.43,0.28,level0
pznlvjgfjrn,0.48,0.76,0.63,level0
azdcqfabl,0.37,0.9,0.51,level1
deowrq,0.31,0.37,0.56,level0
dkdbandptx,0.1,0.39,0.57,level0
umioafvbzwxp,0.14,0.74,0.44,level1
cbbqus,0.34,0.23,0.27,level1
ugphejpvuzb,0.39,0.27,0.47,level1
qjrcvst,0.3,0.53,0.43,level0
mwqogywaggw,0.04,0.55,0.16,level1
emsintswbd,0.33,0.49,0.21,level1
sdmwtddrijg,0.36,0.68,0.32,level0
