id,score0,score1,score2,difficulty
bahasyump,0.3,0.43,0.53,level0
tvcysaqtcd,0.29,0.53,0.33,level1
axcokcixxcug,0.13,0.39,0.46,level1
sguiaqc,0.3,0.56,0.6,level1
glfgzif,0.16,0.18,0.76,level0
vrdqljvrdv,0.44,0.35,0.52,level0
gmgnlqd,0.43,0.52,0.3,level0
wmayhmyl,0.09,0.28,0.65,level0
fpzcznvkg,0.29,0.35,0.24,level0
ymhawpk,0.37,0.73,0.44,level0
slqttdcqu,0.34,0.66,0.34,level1
mwqogywaggw,0.04,0.55,0.16,level1
vjeoipjiii,0.05,0.52,0.19,level1
bujqjpoazrf,0.22,0.45,0.44,level1
ljipyd,0.31,0.39,0.53,level1
wsdhpqopq,0.29,0.68,0.65,level1
wsffitbit,0.27,0.54,0.73,level1
